DATA_BASE,TIPO_DESENROLA,UNIDADE_FEDERACAO,NOME_CONGLOMERADO_FINANCEIRO,NUMERO_OPERACOES,VOLUME_OPERACOES,MES,TRIMESTRE,ANO,MEDIA_OPERACAO,FAIXA_VOLUME,LOG_NUMERO_OPERACOES,LOG_VOLUME_OPERACOES
2023-09-01,2,MG,INTER,328,1370597.18,9,Q3,2023,4178.64993902439,Volume Alto,5.796057750765372,14.130757830247381
2023-09-01,2,MG,VOTORANTIM,554,2972363.93,9,Q3,2023,5365.27785198556,Volume Alto,6.318968113746434,14.90486846664922
2023-09-01,2,MS,BB,478,3651703.07,9,Q3,2023,7639.546171548117,Volume Alto,6.171700597410915,15.110704485102639
2023-09-01,2,MS,BRADESCO,255,1920002.83,9,Q3,2023,7529.422862745098,Volume Alto,5.545177444479562,14.46783773879364
2023-09-01,2,MS,BTG PACTUAL,15,104457.44,9,Q3,2023,6963.829333333333,Volume Médio,2.772588722239781,11.55654456793277
2023-09-01,2,MS,CAIXA ECONÔMICA FEDERAL,303,532865.2,9,Q3,2023,1758.63102310231,Volume Alto,5.717027701406222,13.186025639739267
2023-09-01,2,MS,INTER,21,145094.22,9,Q3,2023,6909.248571428571,Volume Alto,3.091042453358316,11.885145495531583
2023-09-01,2,MS,ITAU,1004,2467747.15,9,Q3,2023,2457.9154880478086,Volume Alto,6.912742820493176,14.7188166126091
2023-09-01,2,MS,SANTANDER,1805,8448529.49,9,Q3,2023,4680.625756232687,Volume Alto,7.498869733976931,15.94950307770099
2023-09-01,2,MS,VOTORANTIM,150,1061853.4,9,Q3,2023,7079.022666666666,Volume Alto,5.017279836814924,13.875527371573307
2023-09-01,2,MT,BB,539,4235340.95,9,Q3,2023,7857.775417439703,Volume Alto,6.29156913955832,15.258974626610339
2023-09-01,2,MT,BRADESCO,201,1444357.42,9,Q3,2023,7185.857810945273,Volume Alto,5.308267697401205,14.183175780931483
2023-09-01,2,MT,BTG PACTUAL,16,150234.67,9,Q3,2023,9389.666875,Volume Alto,2.833213344056216,11.919960473472988
2023-09-01,2,MT,CAIXA ECONÔMICA FEDERAL,320,596696.67,9,Q3,2023,1864.67709375,Volume Alto,5.771441123130016,13.299165848692763
2023-09-01,2,MT,INTER,38,215852.55,9,Q3,2023,5680.3302631578945,Volume Alto,3.6635616461296463,12.282355447454819
2023-09-01,2,MT,ITAU,1063,2628066.38,9,Q3,2023,2472.3107996237063,Volume Alto,6.96979066990159,14.781759297527364
2023-09-01,2,MT,SANTANDER,1526,8065149.0,9,Q3,2023,5285.1566186107475,Volume Alto,7.3310603052186325,15.903062868252556
2023-09-01,2,MT,VOTORANTIM,117,854615.33,9,Q3,2023,7304.404529914529,Volume Alto,4.770684624465665,13.658407910364286
2023-09-01,2,PA,BB,856,5938963.52,9,Q3,2023,6938.041495327102,Volume Alto,6.75343791859778,15.597045352910444
2023-09-01,2,PA,BRADESCO,349,2230711.9,9,Q3,2023,6391.724641833811,Volume Alto,5.857933154483459,14.617831778446243
2023-09-01,2,PA,BTG PACTUAL,37,328941.6,9,Q3,2023,8890.313513513513,Volume Alto,3.6375861597263857,12.703638546441075
2023-09-01,2,PA,CAIXA ECONÔMICA FEDERAL,528,866904.74,9,Q3,2023,1641.865037878788,Volume Alto,6.270988431858299,13.672685530129078
2023-09-01,2,PA,INTER,53,166117.43,9,Q3,2023,3134.2911320754715,Volume Alto,3.9889840465642745,12.020456246700752
2023-09-01,2,PA,ITAU,2215,4898194.86,9,Q3,2023,2211.3746546275397,Volume Alto,7.703459047867175,15.404377503444863
2023-09-01,2,PA,SANTANDER,2862,10629347.83,9,Q3,2023,3713.9580118798044,Volume Alto,7.959625305098115,16.179129490680744
2023-09-01,2,PA,VOTORANTIM,103,935395.94,9,Q3,2023,9081.513980582524,Volume Alto,4.6443908991413725,13.748726252940799
2023-09-01,2,PB,BB,505,3238684.09,9,Q3,2023,6413.2358217821775,Volume Alto,6.226536669287466,14.990677968974872
2023-09-01,2,PB,BRADESCO,192,954527.27,9,Q3,2023,4971.4961979166665,Volume Alto,5.262690188904886,13.768972539310186
2023-09-01,2,PB,BTG PACTUAL,29,66923.05,9,Q3,2023,2307.691379310345,Volume Médio,3.4011973816621555,11.111313673293406
2023-09-01,2,PB,CAIXA ECONÔMICA FEDERAL,309,577176.39,9,Q3,2023,1867.8847572815534,Volume Alto,5.736572297479192,13.265904933250443
2023-09-01,2,PB,INTER,32,103839.54,9,Q3,2023,3244.985625,Volume Médio,3.4965075614664802,11.550611732232563
2023-09-01,2,PB,ITAU,2121,5280749.44,9,Q3,2023,2489.745139085337,Volume Alto,7.660114319173928,15.479578774370983
2023-09-01,2,PB,SANTANDER,1973,7766905.97,9,Q3,2023,3936.597045108971,Volume Alto,7.587817219993427,15.865382569732525
2023-09-01,2,PB,VOTORANTIM,96,537513.08,9,Q3,2023,5599.094583333333,Volume Alto,4.574710978503383,13.1947102339897
2023-09-01,2,PE,BB,774,4779539.68,9,Q3,2023,6175.1158656330745,Volume Alto,6.652863029353347,15.379855007800293
2023-09-01,2,PE,BRADESCO,482,3319105.38,9,Q3,2023,6886.110746887966,Volume Alto,6.180016653652572,15.015206142011301
2023-09-01,2,PE,BTG PACTUAL,65,260209.44,9,Q3,2023,4003.222153846154,Volume Alto,4.189654742026425,12.469245967237958
2023-09-01,2,PE,CAIXA ECONÔMICA FEDERAL,620,953956.07,9,Q3,2023,1538.6388225806452,Volume Alto,6.431331081933479,13.768373949417892
2023-09-01,2,PE,INTER,77,342226.45,9,Q3,2023,4444.499350649351,Volume Alto,4.356708826689592,12.743230853470887
2023-09-01,2,PE,ITAU,5336,12142440.09,9,Q3,2023,2275.5697320089953,Volume Alto,8.582418976333944,16.31221740163581
2023-09-01,2,PE,SANTANDER,5601,23340178.07,9,Q3,2023,4167.144808069987,Volume Alto,8.630878955820053,16.965686857029755
2023-09-01,2,PE,VOTORANTIM,134,752789.86,9,Q3,2023,5617.834776119403,Volume Alto,4.90527477843843,13.5315427258406
2023-09-01,2,PI,BB,633,4203352.98,9,Q3,2023,6640.368056872038,Volume Alto,6.452048954437226,15.251393331235553
2023-09-01,2,PI,BRADESCO,97,450542.18,9,Q3,2023,4644.764742268041,Volume Alto,4.584967478670572,13.018209200493907
2023-09-01,2,PI,BTG PACTUAL,24,56535.62,9,Q3,2023,2355.6508333333336,Volume Médio,3.2188758248682006,10.942643848774406
2023-09-01,2,PI,CAIXA ECONÔMICA FEDERAL,364,687492.63,9,Q3,2023,1888.7160164835166,Volume Alto,5.8998973535824915,13.440807843025393
2023-09-01,2,PI,INTER,27,99953.35,9,Q3,2023,3701.9759259259263,Volume Médio,3.332204510175204,11.512468860742382
2023-09-01,2,PI,ITAU,1033,2059791.57,9,Q3,2023,1993.989903194579,Volume Alto,6.9411900550683745,14.538115841521007
2023-09-01,2,PI,SANTANDER,1070,4217813.79,9,Q3,2023,3941.882046728972,Volume Alto,6.976348070447749,15.254827729621057
2023-09-01,2,PI,VOTORANTIM,56,331480.73,9,Q3,2023,5919.29875,Volume Alto,4.04305126783455,12.711327973967098
2023-09-01,2,PR,BB,751,5272066.79,9,Q3,2023,7020.062303595207,Volume Alto,6.62273632394984,15.477933213579535
2023-09-01,2,PR,BRADESCO,606,3707587.46,9,Q3,2023,6118.131122112211,Volume Alto,6.408528791059498,15.125892212453348
2023-09-01,2,PR,BTG PACTUAL,80,688144.01,9,Q3,2023,8601.800125,Volume Alto,4.394449154672439,13.441754865055369
2023-09-01,2,PR,CAIXA ECONÔMICA FEDERAL,1808,3986495.91,9,Q3,2023,2204.92030420354,Volume Alto,7.500529485395295,15.19842343580837
2023-09-01,2,PR,INTER,106,490970.26,9,Q3,2023,4631.7949056603775,Volume Alto,4.672828834461906,13.104140871458611
2023-09-01,2,PR,ITAU,6900,18373799.54,9,Q3,2023,2662.8694985507245,Volume Alto,8.839421607620602,16.726436324197863
2023-09-01,2,PR,SANTANDER,6824,30223982.37,9,Q3,2023,4429.071273446659,Volume Alto,8.82834762005316,17.22414631849829
2023-09-01,2,PR,VOTORANTIM,471,3112429.44,9,Q3,2023,6608.130445859872,Volume Alto,6.156978985585555,14.95091447091099
