DATA_BASE,TIPO_DESENROLA,UNIDADE_FEDERACAO,NOME_CONGLOMERADO_FINANCEIRO,NUMERO_OPERACOES,VOLUME_OPERACOES
2023-09-01,2,RO,INTER,17,89880.38
2023-09-01,2,RO,ITAU,343,885648.63
2023-09-01,2,RO,SANTANDER,544,2833389.5
2023-09-01,2,RO,VOTORANTIM,44,397045.38
2023-09-01,2,RR,BB,139,1230805.17
2023-09-01,2,RR,BRADESCO,15,128990.25
2023-09-01,2,RR,BTG PACTUAL,4,13661.74
2023-09-01,2,RR,CAIXA ECONÔMICA FEDERAL,56,147379.2
2023-09-01,2,RR,INTER,5,44723.51
2023-09-01,2,RR,ITAU,216,433073.86
2023-09-01,2,RR,SANTANDER,306,813443.59
2023-09-01,2,RR,VOTORANTIM,13,115647.06
2023-09-01,2,RS,BB,690,4555144.25
2023-09-01,2,RS,BRADESCO,286,1702925.03
2023-09-01,2,RS,BTG PACTUAL,77,491758.08
2023-09-01,2,RS,CAIXA ECONÔMICA FEDERAL,1742,3838467.05
2023-09-01,2,RS,INTER,70,336269.06
2023-09-01,2,RS,ITAU,4496,10106841.1
2023-09-01,2,RS,SANTANDER,6257,25087196.18
2023-09-01,2,RS,VOTORANTIM,314,1923797.55
2023-09-01,2,SC,BB,700,5224154.6
2023-09-01,2,SC,BRADESCO,294,2265196.53
2023-09-01,2,SC,BTG PACTUAL,53,532260.69
2023-09-01,2,SC,CAIXA ECONÔMICA FEDERAL,1119,2612825.58
2023-09-01,2,SC,INTER,57,217159.84
2023-09-01,2,SC,ITAU,3238,8092387.62
2023-09-01,2,SC,SANTANDER,3540,15670806.31
2023-09-01,2,SC,VOTORANTIM,354,2616491.07
2023-09-01,2,SE,BB,233,1396925.16
2023-09-01,2,SE,BCO DO EST. DE SE S.A.,104,578089.76
2023-09-01,2,SE,BRADESCO,58,219746.57
2023-09-01,2,SE,BTG PACTUAL,9,34133.79
2023-09-01,2,SE,CAIXA ECONÔMICA FEDERAL,215,312094.64
2023-09-01,2,SE,INTER,11,80264.52
2023-09-01,2,SE,ITAU,884,1917474.94
2023-09-01,2,SE,SANTANDER,890,3365612.92
2023-09-01,2,SE,VOTORANTIM,41,137712.82
2023-09-01,2,SP,BB,3439,25220893.88
2023-09-01,2,SP,BCO DO EST. DE SE S.A.,2,10144.96
2023-09-01,2,SP,BRADESCO,4184,25474642.89
2023-09-01,2,SP,BTG PACTUAL,481,3240632.08
2023-09-01,2,SP,CAIXA ECONÔMICA FEDERAL,4440,8266564.32
2023-09-01,2,SP,INTER,587,2950358.72
2023-09-01,2,SP,VOTORANTIM,2133,12332160.03
2023-09-01,2,TO,BB,264,2177883.53
2023-09-01,2,TO,BRADESCO,80,665578.73
2023-09-01,2,TO,BTG PACTUAL,6,36191.19
2023-09-01,2,TO,CAIXA ECONÔMICA FEDERAL,139,280314.04
2023-09-01,2,TO,INTER,14,74673.71
2023-09-01,2,TO,ITAU,273,501316.82
2023-09-01,2,TO,SANTANDER,397,1486758.35
2023-09-01,2,TO,VOTORANTIM,32,177195.75
2023-10-01,1,AC,BANCO SICOOB,1,434.02
2023-10-01,1,AC,BB,58,34550.72
2023-10-01,1,AC,BMG,37,28745.9
2023-10-01,1,AC,BRADESCO,24,12782.17
2023-10-01,1,AC,BTG PACTUAL,66,52694.82
2023-10-01,1,AC,C6 BANK,7,3372.69
2023-10-01,1,AC,CAIXA ECONÔMICA FEDERAL,56,40733.02
2023-10-01,1,AC,INTER,168,123332.14
2023-10-01,1,AC,ITAU,23,18147.59
2023-10-01,1,AC,NUBANK,373,233735.36
2023-10-01,1,AC,SANTANDER,40,25853.03
2023-10-01,1,AC,SICOOB CREDISUL,2,3118.9
2023-10-01,1,AC,VOTORANTIM,3,2978.62
2023-10-01,1,AL,BANCO SICOOB,2,2103.8
2023-10-01,1,AL,BB,118,66544.29
2023-10-01,1,AL,BMG,169,140621.72
2023-10-01,1,AL,BRADESCO,122,88031.11
2023-10-01,1,AL,BTG PACTUAL,304,224381.49
2023-10-01,1,AL,C6 BANK,37,20096.41
2023-10-01,1,AL,CAIXA ECONÔMICA FEDERAL,187,106527.0
2023-10-01,1,AL,INTER,736,545328.88
2023-10-01,1,AL,ITAU,157,109350.47
2023-10-01,1,AL,NUBANK,964,603613.46
2023-10-01,1,AL,SANTANDER,110,78461.19
2023-10-01,1,AL,VOTORANTIM,13,12748.86
2023-10-01,1,AM,BANCO SICOOB,1,410.28
2023-10-01,1,AM,BB,75,38216.78
2023-10-01,1,AM,BMG,194,196336.71
2023-10-01,1,AM,BRADESCO,416,301094.8
2023-10-01,1,AM,BTG PACTUAL,435,341490.47
2023-10-01,1,AM,C6 BANK,48,38976.37
2023-10-01,1,AM,CAIXA ECONÔMICA FEDERAL,215,161028.29
2023-10-01,1,AM,CCLA DO CENTRO SUL RONDONIENSE,1,1229.59
2023-10-01,1,AM,INTER,944,762160.69
2023-10-01,1,AM,ITAU,277,210187.72
2023-10-01,1,AM,NUBANK,1663,1134071.42
2023-10-01,1,AM,SANTANDER,255,173403.63
2023-10-01,1,AM,SICOOB AMAZÔNIA,1,242.13
2023-10-01,1,AM,VOTORANTIM,12,6225.29
2023-10-01,1,AP,BB,41,20219.79
2023-10-01,1,AP,BMG,31,27033.28
2023-10-01,1,AP,BRADESCO,27,20147.09
2023-10-01,1,AP,BTG PACTUAL,60,48818.75
2023-10-01,1,AP,C6 BANK,15,7823.6
2023-10-01,1,AP,CAIXA ECONÔMICA FEDERAL,23,12487.9
2023-10-01,1,AP,INTER,121,84460.81
2023-10-01,1,AP,ITAU,30,18269.23
2023-10-01,1,AP,NUBANK,253,141012.52
2023-10-01,1,AP,SANTANDER,27,12747.58
2023-10-01,1,AP,VOTORANTIM,1,1058.74
2023-10-01,1,BA,BANCO SICOOB,5,2924.84
2023-10-01,1,BA,BB,524,294976.9
2023-10-01,1,BA,BMG,701,564513.25
2023-10-01,1,BA,BRADESCO,947,617703.07
2023-10-01,1,BA,BTG PACTUAL,1427,1092123.22
2023-10-01,1,BA,C6 BANK,204,120589.71
2023-10-01,1,BA,CAIXA ECONÔMICA FEDERAL,667,452871.86
2023-10-01,1,BA,CC SICOOB COOPEMAR,2,465.87
2023-10-01,1,BA,CC SICOOB CRED EXECUTIVO,1,496.42
2023-10-01,1,BA,CC SICOOB CREDICONQUISTA,1,973.13
2023-10-01,1,BA,CC SICOOB NORTE SUL,2,1241.14
2023-10-01,1,BA,INTER,2884,2102841.95
2023-10-01,1,BA,ITAU,728,551073.81
2023-10-01,1,BA,NUBANK,4284,2658920.53
2023-10-01,1,BA,SANTANDER,693,491244.75
2023-10-01,1,BA,SOC CC SICOOB COOPERE,4,3408.89
2023-10-01,1,BA,VOTORANTIM,50,44741.01
2023-10-01,1,CE,BANCO SICOOB,1,346.99
2023-10-01,1,CE,BB,440,272241.86
2023-10-01,1,CE,BMG,653,557523.42
2023-10-01,1,CE,BRADESCO,940,672823.96
2023-10-01,1,CE,BTG PACTUAL,1271,1013701.18
2023-10-01,1,CE,C6 BANK,157,94982.17
2023-10-01,1,CE,CAIXA ECONÔMICA FEDERAL,650,443127.8
2023-10-01,1,CE,INTER,2901,2175019.37
2023-10-01,1,CE,ITAU,556,423083.9
2023-10-01,1,CE,NUBANK,4358,2868175.24
2023-10-01,1,CE,SANTANDER,654,494368.51
2023-10-01,1,CE,VOTORANTIM,50,42538.11
2023-10-01,1,DF,BANCO SICOOB,8,3853.67
2023-10-01,1,DF,BB,176,99406.44
2023-10-01,1,DF,BMG,283,233126.84
2023-10-01,1,DF,BRADESCO,152,101866.5
2023-10-01,1,DF,BTG PACTUAL,488,370576.34
2023-10-01,1,DF,C6 BANK,94,60462.42
2023-10-01,1,DF,CAIXA ECONÔMICA FEDERAL,182,120859.27
2023-10-01,1,DF,COOP SICOOB EXECUTIVO LTDA.,1,193.48
2023-10-01,1,DF,INTER,1231,919481.94
2023-10-01,1,DF,ITAU,262,202024.59
2023-10-01,1,DF,NUBANK,1700,1099109.38
2023-10-01,1,DF,SANTANDER,253,183782.3
2023-10-01,1,DF,VOTORANTIM,8,8369.14
2023-10-01,1,ES,BANCO SICOOB,25,24421.71
2023-10-01,1,ES,BB,91,59510.26
2023-10-01,1,ES,BMG,207,178410.31
2023-10-01,1,ES,BRADESCO,133,92062.57
2023-10-01,1,ES,BTG PACTUAL,358,279489.86
2023-10-01,1,ES,C6 BANK,38,21979.84
2023-10-01,1,ES,CAIXA ECONÔMICA FEDERAL,212,135907.08
2023-10-01,1,ES,INTER,910,656947.54
2023-10-01,1,ES,ITAU,220,158037.79
2023-10-01,1,ES,NUBANK,1203,753007.43
2023-10-01,1,ES,SANTANDER,240,188661.4
2023-10-01,1,ES,VOTORANTIM,11,9591.39
2023-10-01,1,GO,BANCO SICOOB,10,8290.7
2023-10-01,1,GO,BB,148,83794.66
2023-10-01,1,GO,BMG,340,279669.53
2023-10-01,1,GO,BRADESCO,248,160870.67
2023-10-01,1,GO,BTG PACTUAL,720,578710.69
2023-10-01,1,GO,C6 BANK,94,64570.9
2023-10-01,1,GO,CAIXA ECONÔMICA FEDERAL,316,182366.82
2023-10-01,1,GO,CCLA CENTRO-SUL GOIANO,2,1542.89
2023-10-01,1,GO,COOP CENTRO NORTE BRASILEIRO,1,610.26
2023-10-01,1,GO,INTER,1417,1077774.46
2023-10-01,1,GO,ITAU,437,307460.16
2023-10-01,1,GO,NUBANK,2097,1295238.47
2023-10-01,1,GO,SANTANDER,287,187280.64
2023-10-01,1,GO,VOTORANTIM,17,14446.79
2023-10-01,1,MA,BANCO SICOOB,2,967.11
2023-10-01,1,MA,BB,278,138553.18
2023-10-01,1,MA,BMG,217,178680.26
2023-10-01,1,MA,BRADESCO,247,154734.49
2023-10-01,1,MA,BTG PACTUAL,357,259380.94
2023-10-01,1,MA,C6 BANK,54,33289.04
2023-10-01,1,MA,CAIXA ECONÔMICA FEDERAL,213,142489.42
2023-10-01,1,MA,INTER,868,616661.28
2023-10-01,1,MA,ITAU,155,101596.14
2023-10-01,1,MA,NUBANK,1615,961953.97
2023-10-01,1,MA,SANTANDER,179,123560.77
2023-10-01,1,MA,VOTORANTIM,10,8702.13
2023-10-01,1,MG,BANCO SICOOB,55,48582.41
2023-10-01,1,MG,BB,473,266785.01
2023-10-01,1,MG,BMG,1499,1255161.01
2023-10-01,1,MG,BRADESCO,861,594144.67
2023-10-01,1,MG,BTG PACTUAL,1766,1403277.7
2023-10-01,1,MG,C6 BANK,291,208631.54
2023-10-01,1,MG,CAIXA ECONÔMICA FEDERAL,1046,679692.85
2023-10-01,1,MG,CC CREDIARA LTDA.,1,655.76
2023-10-01,1,MG,CCLA MARGEM ESQUERDA DO URUCUI,1,235.04
2023-10-01,1,MG,CCLA REG. CTR. E OESTE MINEIRO,3,3120.36
2023-10-01,1,MG,CCLA UNIÃO CENTRO OESTE MINAS,2,3108.08
2023-10-01,1,MG,INTER,5947,4382392.64
2023-10-01,1,MG,ITAU,1402,987505.3
2023-10-01,1,MG,NUBANK,5411,3580211.4
2023-10-01,1,MG,SANTANDER,962,658926.41
2023-10-01,1,MG,VOTORANTIM,55,38897.94
2023-10-01,1,MS,BANCO SICOOB,10,6140.77
